#The fit is: heating rate = A * (0.5-arctan((t-t_0)/sigma)/pi)^alpha
#[1] tau [ms]
#[2] specific entropy [k_B/baryon]
#[3] electron fraction
#[4] A [erg/s/g day^alpha]
#[5] alpha
#[6] t_0 [s]
#[7] sigma [s]
#      1           2           3           4           5           6           7
  5.0000e-01  4.0616e+00  3.0000e-01  1.8941e+12  1.2931e+00  8.6931e-02  1.0317e-01
  5.0000e-01  4.0616e+00  3.2000e-01  1.6968e+12  1.2923e+00  7.8278e-02  1.2095e-01
  5.0000e-01  4.0616e+00  3.4000e-01  1.2910e+12  1.2955e+00  7.5803e-02  1.5188e-01
  5.0000e-01  4.0616e+00  3.6000e-01  6.6336e+11  1.2524e+00  2.8403e-01  3.0207e-01
  5.0000e-01  4.0616e+00  3.8000e-01  1.6589e+12  1.5725e+00  -3.0502e+00  9.8011e-02
  5.0000e-01  4.0616e+00  4.0000e-01  7.3203e+08  1.5840e+00  -6.9178e+00  1.0032e+01
  5.0000e-01  4.0616e+00  4.2000e-01  1.0011e+09  1.1091e+00  8.8748e+01  4.2546e+01
  5.0000e-01  4.0616e+00  4.4000e-01  7.6708e+08  7.9356e-01  9.2134e+01  2.6029e+01
  5.0000e-01  4.0616e+00  4.6000e-01  6.0334e+07  1.1753e+00  -5.5095e+02  1.6688e+00
  5.0000e-01  4.0616e+00  4.8000e-01  4.1809e+10  5.6594e-01  -3.0458e+03  1.8162e+00
  5.0000e-01  4.0616e+00  5.0000e-01  4.5575e+11  9.2477e-01  5.1632e-02  8.0817e-02
  5.0000e-01  4.0616e+00  5.2000e-01  2.6522e+11  9.1185e-01  2.8197e-01  9.9905e-02
  5.0000e-01  4.0616e+00  5.4000e-01  1.8837e+11  1.0630e+00  2.1505e-01  1.1106e-01
  5.0000e-01  4.0616e+00  5.6000e-01  9.0407e+10  1.2484e+00  2.0228e-01  1.4902e-01
  5.0000e-01  4.0616e+00  5.8000e-01  2.1265e+10  1.5064e+00  1.1410e-01  1.9343e-01
  5.0000e-01  4.0616e+00  6.0000e-01  1.3451e+11  1.7294e+00  -2.0674e-01  5.2200e-02
  5.0000e-01  4.9619e+00  1.0000e-02  1.0518e+12  1.3606e+00  1.2342e+00  1.2306e-01
  5.0000e-01  4.9619e+00  2.0000e-02  1.3280e+12  1.3674e+00  9.5817e-01  1.0109e-01
